RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,Year,Stat ID
88,88,Henrik Norlander,71,.039,2.092,53,2016,02564
89,89,Jason Bohn,67,.032,1.909,59,2016,02564
T90,T90,Alex Cejka,71,.010,.527,51,2016,02564
T90,T90,Scott Brown,88,.010,.734,70,2016,02564
T90,T90,Blayne Barber,84,.010,.776,74,2016,02564
93,93,Spencer Levin,104,.008,.696,82,2016,02564
94,94,Andres Gonzales,80,.007,.466,64,2016,02564
95,95,Thomas Aiken,70,.006,.284,48,2016,02564
96,96,Bronson Burgoon,83,.002,.145,65,2016,02564
97,97,Chad Collins,73,-.004,-.273,64,2016,02564
98,98,Chris Kirk,90,-.006,-.466,74,2016,02564
99,99,Anirban Lahiri,72,-.020,-.959,48,2016,02564
100,100,Louis Oosthuizen,63,-.021,-.898,42,2016,02564
101,101,Brian Stuard,66,-.022,-1.340,60,2016,02564
102,124,Hideki Matsuyama,76,-.025,-1.472,58,2016,02564
103,103,Will Wilcox,67,-.027,-1.533,57,2016,02564
104,104,Rob Oppenheim,67,-.038,-1.931,51,2016,02564
105,105,Erik Compton,65,-.040,-2.058,51,2016,02564
106,102,Russell Knox,92,-.054,-3.500,65,2016,02564
107,113,Emiliano Grillo,93,-.056,-4.058,73,2016,02564
108,106,Cameron Smith,73,-.057,-2.619,46,2016,02564
T109,T107,Brett Stegmaier,87,-.061,-4.545,75,2016,02564
T109,T107,Dawie van der Walt,72,-.061,-3.442,56,2016,02564
T111,T109,Tyrone Van Aswegen,105,-.064,-5.648,88,2016,02564
T111,T109,Scott Pinckney,87,-.064,-4.514,71,2016,02564
113,112,Tom Hoge,81,-.070,-4.381,63,2016,02564
114,114,Tony Finau,95,-.088,-6.838,78,2016,02564
115,115,Charley Hoffman,91,-.092,-6.516,71,2016,02564
T116,T116,Ryan Palmer,86,-.094,-7.314,78,2016,02564
T116,T116,Vijay Singh,72,-.094,-6.090,65,2016,02564
118,122,Si Woo Kim,113,-.102,-10.050,99,2016,02564
119,118,Kyle Stanley,92,-.103,-8.100,79,2016,02564
120,119,Branden Grace,63,-.105,-4.403,42,2016,02564
121,120,Jason Gore,78,-.109,-6.561,60,2016,02564
122,111,J.B. Holmes,77,-.129,-7.886,61,2016,02564
123,123,Tyler Aldridge,83,-.130,-8.682,67,2016,02564
124,129,Charl Schwartzel,73,-.137,-7.649,56,2016,02564
125,125,Michael Thompson,71,-.151,-8.180,54,2016,02564
126,126,Nick Taylor,83,-.154,-10.160,66,2016,02564
127,T127,Mark Wilson,66,-.155,-8.532,55,2016,02564
128,T127,Gary Woodland,95,-.162,-12.638,78,2016,02564
129,121,Adam Scott,79,-.168,-9.406,56,2016,02564
130,130,Bill Haas,86,-.174,-11.157,64,2016,02564
131,146,Justin Thomas,99,-.185,-13.896,75,2016,02564
132,131,John Huh,86,-.187,-14.782,79,2016,02564
T133,T132,Chesson Hadley,81,-.192,-12.889,67,2016,02564
T133,T132,Lucas Glover,75,-.192,-12.866,67,2016,02564
135,134,Patrick Rodgers,89,-.193,-13.719,71,2016,02564
136,135,Justin Rose,65,-.197,-9.639,49,2016,02564
137,T136,Graeme McDowell,63,-.199,-8.967,45,2016,02564
138,138,Robert Garrigus,69,-.200,-10.975,55,2016,02564
139,140,Rory McIlroy,69,-.207,-9.939,48,2016,02564
140,139,Jerry Kelly,76,-.214,-12.848,60,2016,02564
141,141,Whee Kim,82,-.219,-14.208,65,2016,02564
142,142,Danny Lee,93,-.221,-15.698,71,2016,02564
143,143,Chad Campbell,90,-.223,-17.875,80,2016,02564
144,144,Boo Weekley,83,-.225,-15.978,71,2016,02564
145,145,Graham DeLaet,70,-.227,-13.371,59,2016,02564
146,147,Carlos Ortiz,79,-.242,-14.777,61,2016,02564
147,148,James Hahn,85,-.243,-16.989,70,2016,02564
148,149,Roberto Castro,97,-.257,-22.642,88,2016,02564
149,150,Chez Reavie,90,-.262,-19.913,76,2016,02564
150,151,Rhein Gibson,58,-.266,-11.705,44,2016,02564
151,152,J.J. Henry,68,-.269,-16.396,61,2016,02564
152,153,Luke List,79,-.273,-17.737,65,2016,02564
153,154,Brendan Steele,88,-.287,-19.769,69,2016,02564
154,155,Jason Kokrak,89,-.288,-21.628,75,2016,02564
155,157,Scott Piercy,87,-.292,-18.967,65,2016,02564
156,158,Francesco Molinari,64,-.296,-16.896,57,2016,02564
157,159,Scott Stallings,74,-.305,-19.225,63,2016,02564
158,160,Kevin Chappell,93,-.307,-23.948,78,2016,02564
159,161,Matt Jones,83,-.314,-19.755,63,2016,02564
160,162,Jim Herman,93,-.318,-22.564,71,2016,02564
161,163,Kevin Streelman,82,-.326,-20.863,64,2016,02564
162,164,Shawn Stefani,91,-.336,-25.840,77,2016,02564
163,165,Padraig Harrington,54,-.342,-15.051,44,2016,02564
164,167,Ángel Cabrera,62,-.347,-16.986,49,2016,02564
165,169,Jason Dufner,105,-.353,-27.865,79,2016,02564
166,168,Harold Varner III,92,-.357,-28.590,80,2016,02564
167,166,Bubba Watson,72,-.367,-18.693,51,2016,02564
168,170,Sergio Garcia,54,-.388,-12.029,31,2016,02564
169,171,Robert Streb,87,-.396,-26.163,66,2016,02564
170,172,Stewart Cink,61,-.398,-19.512,49,2016,02564
171,173,Jeff Overton,69,-.416,-24.134,58,2016,02564
172,174,Abraham Ancer,51,-.421,-15.980,38,2016,02564
173,175,Vaughn Taylor,72,-.424,-28.391,67,2016,02564
174,176,Geoff Ogilvy,63,-.437,-21.846,50,2016,02564
175,178,Rod Pampling,54,-.475,-17.590,37,2016,02564
176,179,Will MacKenzie,84,-.479,-31.646,66,2016,02564
177,180,Webb Simpson,70,-.482,-27.946,58,2016,02564
178,181,George McNeill,51,-.485,-22.315,46,2016,02564
179,182,Robert Allenby,51,-.491,-20.117,41,2016,02564
180,183,Ken Duke,58,-.524,-25.147,48,2016,02564
181,184,Derek Ernst,59,-.556,-23.907,43,2016,02564
182,185,D.A. Points,55,-.596,-23.247,39,2016,02564
183,186,Keegan Bradley,82,-.631,-39.747,63,2016,02564
184,187,Rory Sabbatini,57,-.945,-36.836,39,2016,02564
185,188,Greg Owen,85,-.987,-68.137,69,2016,02564
