RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK,Year,Stat ID
T171,T170,Chris Stroud,81,"37' 10""","38,905.167","1,028",Under,2018,331
T171,T170,Luke List,98,"37' 10""","52,754.083","1,393",1 Under,2018,331
T171,T170,Scott Brown,102,"37' 10""","54,490.500","1,441",Over,2018,331
T171,T170,Xinjun Zhang,81,"37' 10""","38,454.667","1,016",Over,2018,331
T171,T170,Beau Hossler,104,"37' 10""","60,775.917","1,606",1 Under,2018,331
T176,T175,Michael Kim,74,"38' 0""","36,515.583",961,Over,2018,331
T176,T175,Adam Hadwin,92,"38' 0""","44,926.333","1,182",1 Under,2018,331
T178,T178,Ben Martin,64,"38' 1""","38,762.833","1,017",Under,2018,331
T178,T178,Lucas Glover,65,"38' 1""","31,165.167",819,Under,2018,331
180,180,Jonathan Randolph,71,"38' 4""","40,896.000","1,067",Over,2018,331
181,181,Patrick Rodgers,97,"38' 6""","50,172.000","1,304",Under,2018,331
T182,T182,Matt Atkins,56,"38' 9""","27,405.833",707,Under,2018,331
T182,T182,Harris English,84,"38' 9""","46,840.833","1,210",Under,2018,331
T184,T184,Derek Fathauer,84,"38' 11""","46,863.500","1,205",Over,2018,331
T184,T184,Jhonattan Vegas,92,"38' 11""","44,406.417","1,140",Under,2018,331
T184,T184,Jonas Blixt,67,"38' 11""","33,329.500",856,Under,2018,331
187,187,Cody Gribble,71,"39' 0""","37,155.750",952,Under,2018,331
T188,T188,Adam Schenk,86,"39' 3""","46,334.500","1,180",Under,2018,331
T188,T188,Charl Schwartzel,65,"39' 3""","29,460.750",750,Over,2018,331
190,190,Martin Piller,79,"39' 7""","47,300.417","1,196",Over,2018,331
191,191,Alex Noren,67,"40' 5""","35,296.167",874,1 Under,2018,331
192,192,Daniel Summerhays,51,"41' 4""","27,509.000",666,Over,2018,331
193,194,Greg Chalmers,56,"43' 11""","32,089.083",730,Over,2018,331
