RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
182,190,Matt Wallace,44,-.554,-22.165,40,2020,02568
183,191,Anirban Lahiri,35,-.560,-12.872,23,2020,02568
184,192,Brandon Hagy,50,-.561,-20.188,36,2020,02568
185,193,Wyndham Clark,65,-.570,-26.243,46,2020,02568
186,194,Scott Harrington,68,-.579,-31.287,54,2020,02568
187,195,Nelson Ledesma,42,-.645,-15.477,24,2020,02568
188,196,Beau Hossler,71,-.710,-34.776,49,2020,02568
189,197,Rhein Gibson,54,-.757,-25.728,34,2020,02568
190,198,Vincent Whaley,40,-.761,-21.310,28,2020,02568
191,199,Sebastian Cappelen,55,-.862,-30.171,35,2020,02568
192,200,Bo Van Pelt,45,-1.060,-32.863,31,2020,02568
193,201,Martin Trainer,48,-2.115,-82.502,39,2020,02568
