RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,Year,Stat ID
T89,T93,Michael Thompson,83,.041,3.064,75,2015,02569
T89,T93,Brendan Steele,88,.041,3.097,76,2015,02569
91,95,Geoff Ogilvy,50,.039,1.376,35,2015,02569
92,96,Cameron Percy,72,.037,2.118,58,2015,02569
T93,T97,Ben Crane,62,.030,1.570,52,2015,02569
T93,T97,Brian Harman,90,.030,2.366,78,2015,02569
95,99,Brian Davis,86,.029,2.081,71,2015,02569
96,100,Tony Finau,106,.027,2.526,92,2015,02569
97,101,Ryo Ishikawa,90,.025,1.869,75,2015,02569
98,102,Andres Gonzales,90,.022,1.635,76,2015,02569
99,103,Heath Slocum,57,.018,.710,39,2015,02569
100,105,Boo Weekley,79,.015,1.004,67,2015,02569
101,106,John Merrick,78,.006,.331,58,2015,02569
102,107,Hunter Mahan,88,.003,.163,65,2015,02569
103,104,Harris English,105,.000,.030,88,2015,02569
104,108,Bubba Watson,71,-.002,-.125,56,2015,02569
105,110,John Senden,80,-.017,-.859,51,2015,02569
106,111,Jeff Overton,94,-.018,-1.370,75,2015,02569
107,112,Martin Laird,77,-.019,-1.354,73,2015,02569
108,113,Michael Putnam,87,-.022,-1.474,68,2015,02569
109,114,David Lingmerth,90,-.025,-1.859,74,2015,02569
110,115,Greg Chalmers,58,-.028,-1.001,36,2015,02569
111,116,David Hearn,97,-.029,-2.474,85,2015,02569
112,117,John Huh,102,-.030,-2.657,89,2015,02569
113,118,Francesco Molinari,56,-.037,-1.610,43,2015,02569
114,119,Jim Renner,68,-.038,-2.129,56,2015,02569
115,120,Retief Goosen,81,-.039,-2.320,60,2015,02569
T116,T121,Jason Bohn,95,-.042,-3.618,87,2015,02569
T116,T121,Byron Smith,59,-.042,-1.800,43,2015,02569
118,123,Whee Kim,71,-.043,-2.411,56,2015,02569
119,124,Matt Every,73,-.044,-2.458,56,2015,02569
T120,T125,Scott Stallings,60,-.052,-2.534,49,2015,02569
T120,T125,Brian Stuard,97,-.052,-4.108,79,2015,02569
122,127,Troy Merritt,91,-.054,-4.405,82,2015,02569
123,128,Graham DeLaet,65,-.056,-3.034,54,2015,02569
124,134,Danny Lee,120,-.062,-6.249,100,2015,02569
125,109,Kevin Kisner,104,-.068,-6.349,94,2015,02569
126,129,George McNeill,93,-.071,-6.362,89,2015,02569
127,130,Ryan Palmer,80,-.072,-3.889,54,2015,02569
128,131,Andres Romero,69,-.073,-3.963,54,2015,02569
129,132,Tom Hoge,83,-.080,-5.229,65,2015,02569
130,133,Steve Wheatcroft,87,-.082,-5.894,72,2015,02569
131,135,Colt Knost,90,-.085,-6.273,74,2015,02569
132,136,Patrick Rodgers,57,-.090,-4.162,46,2015,02569
133,137,Carl Pettersson,106,-.097,-9.286,96,2015,02569
134,138,Ben Martin,93,-.100,-7.676,77,2015,02569
135,139,Lee Westwood,56,-.102,-3.276,32,2015,02569
T136,T140,Scott Brown,97,-.111,-8.955,81,2015,02569
T136,T140,Lucas Glover,79,-.111,-7.994,72,2015,02569
138,142,Fabián Gómez,83,-.113,-7.828,69,2015,02569
139,145,Bo Van Pelt,81,-.126,-8.211,65,2015,02569
140,146,Scott Pinckney,88,-.140,-10.360,74,2015,02569
T141,T147,Derek Ernst,75,-.144,-9.052,63,2015,02569
T141,T147,Jason Kokrak,88,-.144,-11.516,80,2015,02569
143,151,Brendon de Jonge,106,-.152,-13.982,92,2015,02569
144,152,Blayne Barber,76,-.154,-9.704,63,2015,02569
145,154,Carlos Ortiz,100,-.166,-13.762,83,2015,02569
146,149,Scott Piercy,90,-.172,-14.278,83,2015,02569
147,155,John Peterson,84,-.175,-13.474,77,2015,02569
148,150,Sangmoon Bae,98,-.176,-15.454,88,2015,02569
149,153,Paul Casey,87,-.182,-11.448,63,2015,02569
150,156,Alex Prugh,84,-.183,-13.153,72,2015,02569
151,157,Nick Taylor,91,-.185,-15.368,83,2015,02569
152,158,Daniel Summerhays,101,-.186,-16.569,89,2015,02569
153,159,Eric Axley,57,-.189,-8.116,43,2015,02569
154,160,Roger Sloan,56,-.190,-7.581,40,2015,02569
155,161,Russell Henley,87,-.191,-12.778,67,2015,02569
156,162,Shawn Stefani,94,-.192,-16.938,88,2015,02569
157,163,Adam Scott,51,-.195,-6.238,32,2015,02569
158,164,Johnson Wagner,68,-.201,-11.477,57,2015,02569
159,165,Jonathan Randolph,72,-.208,-11.655,56,2015,02569
T160,166,Jhonattan Vegas,90,-.212,-15.230,72,2015,02569
T160,175,Dustin Johnson,75,-.212,-11.466,54,2015,02569
162,167,Robert Allenby,63,-.213,-10.841,51,2015,02569
163,168,Kevin Streelman,95,-.216,-15.760,73,2015,02569
T164,169,Robert Garrigus,70,-.217,-11.944,55,2015,02569
T164,176,Daniel Berger,97,-.217,-17.979,83,2015,02569
166,170,Max Homa,78,-.218,-13.512,62,2015,02569
167,171,Chesson Hadley,101,-.227,-20.231,89,2015,02569
168,172,Bill Lunde,50,-.242,-8.697,36,2015,02569
169,173,Ken Duke,93,-.248,-19.320,78,2015,02569
170,174,Spencer Levin,99,-.250,-20.752,83,2015,02569
171,177,Stewart Cink,77,-.282,-18.602,66,2015,02569
172,178,Gary Woodland,81,-.284,-15.346,54,2015,02569
173,179,Billy Horschel,99,-.301,-21.981,73,2015,02569
174,180,Charley Hoffman,97,-.338,-25.665,76,2015,02569
175,181,Chez Reavie,56,-.340,-17.004,50,2015,02569
176,182,Jim Herman,88,-.345,-26.579,77,2015,02569
177,183,Sam Saunders,83,-.372,-23.465,63,2015,02569
178,184,Jason Gore,76,-.393,-22.777,58,2015,02569
179,185,Hudson Swafford,97,-.404,-33.520,83,2015,02569
180,186,Charlie Beljan,76,-.424,-24.160,57,2015,02569
181,187,Ángel Cabrera,53,-.428,-17.984,42,2015,02569
182,188,Nicholas Thompson,90,-.450,-31.513,70,2015,02569
183,189,Andrew Svoboda,80,-.460,-32.202,70,2015,02569
184,190,Oscar Fraustro,58,-.655,-26.202,40,2015,02569
