RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
35,38,Jon Curran,83,61.72,295,478,2015,130
36,42,Harris English,105,61.65,373,605,2015,130
37,39,Justin Thomas,106,61.55,365,593,2015,130
38,40,Mark Hubbard,79,61.52,283,460,2015,130
39,41,Steven Alker,62,61.50,222,361,2015,130
40,43,Kyle Reifers,96,61.36,335,546,2015,130
41,44,Louis Oosthuizen,68,61.30,217,354,2015,130
T42,T46,Matt Jones,89,61.27,337,550,2015,130
T42,T46,David Lingmerth,90,61.27,348,568,2015,130
44,49,George McNeill,93,61.21,344,562,2015,130
45,33,Sangmoon Bae,98,61.16,400,654,2015,130
46,50,Luke Donald,71,61.14,269,440,2015,130
47,56,Rickie Fowler,76,61.10,267,437,2015,130
48,51,Aaron Baddeley,76,61.00,305,500,2015,130
49,37,Zach Johnson,90,60.98,300,492,2015,130
50,52,Vijay Singh,78,60.97,289,474,2015,130
51,53,Jason Bohn,95,60.90,324,532,2015,130
52,64,Danny Lee,120,60.86,451,741,2015,130
53,54,Jonathan Randolph,72,60.80,273,449,2015,130
54,55,Ian Poulter,68,60.76,240,395,2015,130
55,57,Scott Brown,97,60.69,369,608,2015,130
T56,T58,Steve Wheatcroft,87,60.68,321,529,2015,130
T56,T58,Eric Axley,57,60.68,233,384,2015,130
T56,T58,Brian Davis,86,60.68,338,557,2015,130
59,48,Daniel Berger,97,60.66,330,544,2015,130
60,61,Ryan Palmer,80,60.57,275,454,2015,130
61,63,Erik Compton,86,60.53,345,570,2015,130
62,65,Alex Cejka,94,60.39,343,568,2015,130
63,66,Mark Wilson,89,60.37,297,492,2015,130
64,67,Chris Kirk,76,60.30,281,466,2015,130
65,68,Ryan Moore,81,60.25,294,488,2015,130
66,69,Brian Stuard,97,60.23,371,616,2015,130
67,70,Martin Laird,77,60.17,281,467,2015,130
68,72,Brendan Steele,88,60.08,286,476,2015,130
T69,T73,Pat Perez,96,60.00,333,555,2015,130
T69,T73,Ricky Barnes,82,60.00,333,555,2015,130
T71,T75,Chris Stroud,84,59.92,311,519,2015,130
T71,T75,Russell Knox,96,59.92,302,504,2015,130
73,77,Boo Weekley,79,59.91,275,459,2015,130
74,78,Greg Owen,58,59.81,192,321,2015,130
75,79,D.A. Points,72,59.78,269,450,2015,130
76,80,Spencer Levin,99,59.75,331,554,2015,130
77,81,Brian Harman,90,59.63,322,540,2015,130
78,82,Hunter Mahan,88,59.60,301,505,2015,130
79,71,Robert Streb,110,59.57,364,611,2015,130
80,84,Blayne Barber,76,59.51,266,447,2015,130
81,85,Jamie Donaldson,50,59.48,182,306,2015,130
82,86,Johnson Wagner,68,59.47,226,380,2015,130
83,87,Sean O'Hair,86,59.42,328,552,2015,130
84,89,Phil Mickelson,70,59.38,288,485,2015,130
T85,90,Retief Goosen,81,59.35,311,524,2015,130
T85,83,J.B. Holmes,89,59.35,330,556,2015,130
87,91,Kevin Chappell,86,59.32,312,526,2015,130
88,92,Chad Campbell,97,59.31,325,548,2015,130
89,93,Jhonattan Vegas,90,59.25,317,535,2015,130
90,94,Max Homa,78,59.23,292,493,2015,130
91,95,Brendon de Jonge,106,59.19,367,620,2015,130
92,96,Morgan Hoffmann,85,59.16,352,595,2015,130
93,97,Scott Langley,94,59.15,346,585,2015,130
94,T104,Justin Rose,69,59.14,207,350,2015,130
95,99,Michael Putnam,87,59.08,270,457,2015,130
96,100,Camilo Villegas,83,59.06,326,552,2015,130
97,101,Colt Knost,90,58.93,297,504,2015,130
98,102,Jeff Overton,94,58.80,334,568,2015,130
99,103,Martin Flores,95,58.77,305,519,2015,130
100,98,Charley Hoffman,97,58.74,336,572,2015,130
101,T104,Fabián Gómez,83,58.72,320,545,2015,130
102,106,Ken Duke,93,58.71,337,574,2015,130
103,107,Nick Watney,91,58.69,314,535,2015,130
104,108,Kevin Streelman,95,58.66,298,508,2015,130
105,88,Scott Piercy,90,58.63,316,539,2015,130
106,109,Tom Hoge,83,58.59,283,483,2015,130
107,110,Jonas Blixt,78,58.57,287,490,2015,130
108,111,James Hahn,94,58.46,335,573,2015,130
109,112,Sergio Garcia,59,58.41,191,327,2015,130
110,113,Adam Hadwin,95,58.39,327,560,2015,130
T111,T115,Francesco Molinari,56,58.33,161,276,2015,130
T111,T115,Tim Wilkinson,73,58.33,280,480,2015,130
113,117,Nick Taylor,91,58.32,340,583,2015,130
114,118,Jason Kokrak,88,58.30,302,518,2015,130
115,119,Keegan Bradley,87,58.25,286,491,2015,130
116,120,Tyrone Van Aswegen,58,58.20,188,323,2015,130
117,121,Stewart Cink,77,58.13,218,375,2015,130
118,122,Jim Herman,88,58.02,246,424,2015,130
119,114,Dustin Johnson,75,57.85,247,427,2015,130
120,123,Gonzalo Fernandez-Castaño,81,57.80,289,500,2015,130
121,124,Sam Saunders,83,57.79,293,507,2015,130
122,125,Daniel Summerhays,101,57.76,361,625,2015,130
123,126,Whee Kim,71,57.72,228,395,2015,130
124,137,Jimmy Walker,89,57.71,303,525,2015,130
125,127,Chesson Hadley,101,57.70,382,662,2015,130
126,128,Billy Horschel,99,57.61,299,519,2015,130
127,129,Luke Guthrie,84,57.57,308,535,2015,130
128,130,Bill Lunde,50,57.53,149,259,2015,130
129,131,Derek Fathauer,81,57.46,308,536,2015,130
130,132,Russell Henley,87,57.43,286,498,2015,130
131,133,David Hearn,97,57.42,321,559,2015,130
132,134,Greg Chalmers,58,57.39,202,352,2015,130
133,135,Graham DeLaet,65,57.34,207,361,2015,130
134,136,John Merrick,78,57.31,247,431,2015,130
135,138,Derek Ernst,75,57.24,245,428,2015,130
136,139,Davis Love III,51,57.19,171,299,2015,130
137,140,Padraig Harrington,60,57.01,240,421,2015,130
138,141,Heath Slocum,57,56.90,202,355,2015,130
139,142,Andrew Putnam,68,56.71,262,462,2015,130
140,143,Andres Romero,69,56.70,258,455,2015,130
141,144,Marc Leishman,74,56.67,242,427,2015,130
142,145,Gary Woodland,81,56.66,251,443,2015,130
143,150,Brooks Koepka,84,56.63,252,445,2015,130
144,146,Ernie Els,57,56.59,206,364,2015,130
145,147,Patrick Rodgers,57,56.47,179,317,2015,130
146,148,Shawn Stefani,94,56.44,298,528,2015,130
147,149,Oscar Fraustro,58,56.42,202,358,2015,130
148,151,Cameron Percy,72,56.16,228,406,2015,130
149,152,Tony Finau,106,56.15,347,618,2015,130
150,154,Paul Casey,87,56.13,229,408,2015,130
151,153,Charles Howell III,105,56.06,333,594,2015,130
152,155,Chez Reavie,56,55.88,171,306,2015,130
153,156,Matt Every,73,55.87,295,528,2015,130
154,157,Bo Van Pelt,81,55.84,263,471,2015,130
155,159,Scott Pinckney,88,55.75,286,513,2015,130
156,160,Brice Garnett,81,55.65,251,451,2015,130
157,161,Andres Gonzales,90,55.62,287,516,2015,130
158,162,Carlos Ortiz,100,55.50,318,573,2015,130
159,163,Ryo Ishikawa,90,55.45,295,532,2015,130
160,164,Hudson Swafford,97,55.39,298,538,2015,130
161,165,Michael Thompson,83,55.36,279,504,2015,130
162,166,Jason Dufner,76,55.28,225,407,2015,130
163,167,John Senden,80,55.20,244,442,2015,130
164,168,Lucas Glover,79,55.00,231,420,2015,130
165,169,Jim Renner,68,54.96,227,413,2015,130
166,170,Seung-Yul Noh,65,54.89,219,399,2015,130
167,171,Jason Gore,76,54.87,231,421,2015,130
168,172,Charl Schwartzel,67,54.66,217,397,2015,130
169,173,Roberto Castro,54,54.43,166,305,2015,130
170,174,J.J. Henry,94,54.30,265,488,2015,130
171,175,Scott Stallings,60,54.23,205,378,2015,130
172,176,Byron Smith,59,54.22,167,308,2015,130
173,177,Adam Scott,51,54.09,139,257,2015,130
174,178,Ben Martin,93,54.04,274,507,2015,130
175,179,Roger Sloan,56,53.62,185,345,2015,130
176,180,Robert Garrigus,70,53.04,227,428,2015,130
177,181,Alex Prugh,84,53.02,228,430,2015,130
178,183,Lee Westwood,56,52.23,164,314,2015,130
179,184,Nicholas Thompson,90,52.06,253,486,2015,130
180,185,Robert Allenby,63,51.69,183,354,2015,130
181,186,Geoff Ogilvy,50,51.56,149,289,2015,130
182,187,Andrew Svoboda,80,51.08,261,511,2015,130
183,188,Ángel Cabrera,53,50.45,169,335,2015,130
184,190,Charlie Beljan,76,48.77,218,447,2015,130
