RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,Year,Stat ID
166,169,Chad Collins,66,281.4,"34,898",124,2017,101
167,171,David Hearn,93,281.0,"45,517",162,2017,101
168,172,Cameron Tringale,89,280.9,"44,390",158,2017,101
T169,T173,Roberto Castro,70,280.5,"35,906",128,2017,101
T169,T173,Steve Wheatcroft,51,280.5,"26,370",94,2017,101
171,175,Carl Pettersson,63,280.2,"33,066",118,2017,101
172,176,Wesley Bryan,95,279.8,"50,917",182,2017,101
T173,T177,Tim Wilkinson,64,279.5,"32,427",116,2017,101
T173,T177,Graeme McDowell,56,279.5,"31,307",112,2017,101
175,179,Spencer Levin,89,279.0,"45,191",162,2017,101
176,180,Ryan Armour,63,278.8,"32,898",118,2017,101
177,181,Brian Gay,82,278.7,"43,483",156,2017,101
T178,T182,Ben Crane,86,278.5,"44,000",158,2017,101
T178,T182,Luke Donald,50,278.5,"26,732",96,2017,101
180,184,D.A. Points,68,278.1,"37,816",136,2017,101
181,185,Greg Chalmers,75,278.0,"39,470",142,2017,101
182,186,Bryce Molder,74,277.0,"40,994",148,2017,101
T183,T187,Steven Alker,69,276.9,"34,884",126,2017,101
T183,T187,Billy Hurley III,80,276.9,"42,083",152,2017,101
185,189,Jason Bohn,75,275.9,"39,180",142,2017,101
186,190,Ken Duke,77,274.2,"38,939",142,2017,101
187,191,Søren Kjeldsen,58,273.6,"24,621",90,2017,101
188,192,Zac Blair,105,272.7,"51,820",190,2017,101
189,193,Brian Stuard,93,272.6,"45,246",166,2017,101
190,194,Jim Furyk,54,271.4,"27,687",102,2017,101
