RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR,Year,Stat ID
137,140,Ryan Moore,82,47.30,70,148,+59.00,2017,111
138,141,Tag Ridings,67,47.25,43,91,+22.00,2017,111
139,142,Martin Laird,83,47.20,59,125,+50.00,2017,111
140,143,Mackenzie Hughes,106,47.02,71,151,+43.00,2017,111
141,144,Camilo Villegas,76,46.96,54,115,+55.00,2017,111
142,145,William McGirt,89,46.77,58,124,+38.00,2017,111
143,146,Bud Cauley,92,46.76,65,139,+43.00,2017,111
144,147,Alex Cejka,85,46.55,54,116,+50.00,2017,111
T145,T148,Brian Stuard,93,46.43,65,140,+68.00,2017,111
T145,T148,Luke List,102,46.43,78,168,+68.00,2017,111
147,150,Bubba Watson,71,46.32,44,95,+34.00,2017,111
148,T159,Russell Henley,99,46.05,70,152,+68.00,2017,111
149,151,Bryson DeChambeau,91,46.00,69,150,+53.00,2017,111
150,152,Jonathan Randolph,68,45.95,51,111,+42.00,2017,111
151,170,Jhonattan Vegas,95,45.74,59,129,+36.00,2017,111
152,153,Shawn Stefani,72,45.71,48,105,+27.00,2017,111
153,154,Kevin Tway,96,45.70,69,151,+44.00,2017,111
154,155,Robert Streb,98,45.66,79,173,+84.00,2017,111
155,156,Jim Furyk,54,45.61,26,57,+26.00,2017,111
T156,T157,Steve Wheatcroft,51,45.54,46,101,+36.00,2017,111
T156,T157,Chris Stroud,67,45.54,46,101,+45.00,2017,111
T158,T159,Miguel Angel Carballo,63,45.45,40,88,+36.00,2017,111
T158,T159,J.J. Spaun,92,45.45,60,132,+66.00,2017,111
160,162,Billy Horschel,88,44.88,57,127,+55.00,2017,111
161,163,Richy Werenski,81,44.74,51,114,+47.00,2017,111
162,164,Boo Weekley,75,44.64,50,112,+40.00,2017,111
163,165,Brett Stegmaier,78,44.57,41,92,+47.00,2017,111
164,166,Derek Fathauer,81,44.37,63,142,+76.00,2017,111
165,169,Dustin Johnson,77,44.32,39,88,+27.00,2017,111
166,167,Scott Stallings,81,44.26,54,122,+44.00,2017,111
167,171,Ryan Palmer,61,43.59,34,78,+30.00,2017,111
168,172,Billy Hurley III,80,43.48,50,115,+55.00,2017,111
169,173,Brendan Steele,89,43.33,52,120,+54.00,2017,111
170,174,Dominic Bozzelli,69,43.24,48,111,+39.00,2017,111
171,175,Daniel Berger,91,43.18,57,132,+53.00,2017,111
T172,T176,J.B. Holmes,83,42.86,42,98,+40.00,2017,111
T172,T176,Julián Etulain,68,42.86,42,98,+37.00,2017,111
174,168,Kevin Chappell,95,42.75,59,138,+60.00,2017,111
175,178,Kelly Kraft,75,42.66,61,143,+73.00,2017,111
176,T181,Jason Dufner,89,42.06,53,126,+65.00,2017,111
177,179,J.T. Poston,95,41.98,55,131,+54.00,2017,111
178,180,Matt Every,76,41.27,52,126,+56.00,2017,111
179,183,J.J. Henry,92,40.32,50,124,+60.00,2017,111
180,184,Graham DeLaet,82,40.00,44,110,+33.00,2017,111
181,185,Patrick Rodgers,76,39.82,45,113,+38.00,2017,111
182,186,Andrew Loupe,55,39.80,39,98,+43.00,2017,111
183,187,Jason Bohn,75,39.56,36,91,+43.00,2017,111
184,188,Paul Casey,94,39.17,47,120,+48.00,2017,111
185,189,Stewart Cink,93,38.40,48,125,+55.00,2017,111
186,190,Scott Piercy,70,37.96,41,108,+54.00,2017,111
187,191,Russell Knox,75,37.93,44,116,+47.00,2017,111
188,192,Jim Herman,77,37.59,50,133,+57.00,2017,111
189,193,Ryan Armour,63,37.33,28,75,+36.00,2017,111
190,194,Jason Kokrak,95,36.81,53,144,+64.00,2017,111
