RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
61,62,Graeme McDowell,67,59.95,226,377,2018,130
62,63,Vaughn Taylor,83,59.91,281,469,2018,130
63,51,Bryson DeChambeau,93,59.84,304,508,2018,130
T64,T64,Denny McCarthy,71,59.83,216,361,2018,130
T64,T64,Jonathan Randolph,71,59.83,277,463,2018,130
T64,T64,Lucas Glover,65,59.83,216,361,2018,130
67,67,James Hahn,85,59.62,279,468,2018,130
68,68,Rob Oppenheim,74,59.55,262,440,2018,130
69,69,Talor Gooch,78,59.53,281,472,2018,130
70,70,Russell Knox,94,59.43,293,493,2018,130
71,71,Chad Campbell,87,59.39,291,490,2018,130
72,72,Brian Stuard,103,59.23,340,574,2018,130
73,T73,Martin Laird,73,59.15,236,399,2018,130
74,76,Jimmy Walker,81,59.09,312,528,2018,130
75,75,Marc Leishman,93,59.07,319,540,2018,130
76,77,Daniel Berger,81,58.94,267,453,2018,130
77,78,Kelly Kraft,94,58.93,353,599,2018,130
78,79,Dominic Bozzelli,65,58.86,269,457,2018,130
79,80,Fabián Gómez,88,58.85,286,486,2018,130
80,81,Hunter Mahan,67,58.81,207,352,2018,130
81,82,Ben Martin,64,58.80,244,415,2018,130
82,95,Francesco Molinari,73,58.67,220,375,2018,130
83,83,Brice Garnett,99,58.63,333,568,2018,130
84,84,Jhonattan Vegas,92,58.60,327,558,2018,130
85,85,Adam Hadwin,92,58.59,300,512,2018,130
86,86,David Lingmerth,82,58.57,304,519,2018,130
T87,T87,Whee Kim,93,58.56,342,584,2018,130
T87,T87,Roberto Díaz,72,58.56,260,444,2018,130
89,89,Shawn Stefani,76,58.43,253,433,2018,130
90,90,Luke List,98,58.41,316,541,2018,130
91,T73,Phil Mickelson,90,58.36,321,550,2018,130
92,91,Anirban Lahiri,82,58.35,304,521,2018,130
93,92,Jonathan Byrd,70,58.31,207,355,2018,130
94,93,Jason Dufner,71,58.25,240,412,2018,130
95,94,Xinjun Zhang,81,58.20,259,445,2018,130
96,96,Harold Varner III,91,58.14,300,516,2018,130
97,97,Tyrone Van Aswegen,101,58.08,338,582,2018,130
98,114,Billy Horschel,86,58.03,242,417,2018,130
99,98,Rafa Cabrera Bello,75,57.98,218,376,2018,130
100,99,John Huh,94,57.94,321,554,2018,130
101,101,Charl Schwartzel,65,57.88,235,406,2018,130
102,102,Peter Uihlein,83,57.87,261,451,2018,130
103,103,Harris English,84,57.86,298,515,2018,130
104,106,Xander Schauffele,96,57.81,333,576,2018,130
105,T104,Branden Grace,67,57.78,219,379,2018,130
106,107,Martin Piller,79,57.74,317,549,2018,130
T107,T108,Troy Merritt,89,57.60,307,533,2018,130
T107,T108,Matt Atkins,56,57.60,197,342,2018,130
109,100,Patrick Cantlay,87,57.58,243,422,2018,130
110,110,Sean O'Hair,67,57.56,236,410,2018,130
111,111,J.T. Poston,73,57.53,233,405,2018,130
112,112,Corey Conners,97,57.52,287,499,2018,130
113,113,"Ted Potter, Jr.",87,57.51,333,579,2018,130
114,115,Blayne Barber,69,57.46,208,362,2018,130
115,116,Ricky Barnes,65,57.40,221,385,2018,130
116,117,Ben Silverman,90,57.36,304,530,2018,130
117,118,Cameron Percy,56,57.30,157,274,2018,130
118,119,Si Woo Kim,108,57.23,388,678,2018,130
T119,120,Patrick Rodgers,97,57.22,329,575,2018,130
T119,T122,Tony Finau,105,57.22,301,526,2018,130
121,T104,Jon Rahm,71,57.18,203,355,2018,130
122,121,J.B. Holmes,77,57.14,268,469,2018,130
123,T122,Ian Poulter,73,57.11,217,380,2018,130
124,125,Retief Goosen,60,56.98,204,358,2018,130
125,126,Andrew Landry,82,56.97,282,495,2018,130
T126,T127,Brian Harman,94,56.95,299,525,2018,130
T126,T127,Ollie Schniederjans,91,56.95,332,583,2018,130
128,129,C.T. Pan,104,56.89,289,508,2018,130
129,130,Robert Garrigus,80,56.84,270,475,2018,130
130,131,Jonas Blixt,67,56.83,237,417,2018,130
131,T134,Keegan Bradley,98,56.78,293,516,2018,130
132,132,Kevin Tway,110,56.77,352,620,2018,130
133,133,Stephan Jaeger,81,56.76,252,444,2018,130
134,T134,Rod Pampling,62,56.67,221,390,2018,130
135,T122,Bubba Watson,90,56.64,256,452,2018,130
136,136,Chesson Hadley,103,56.60,326,576,2018,130
137,137,Keith Mitchell,99,56.55,302,534,2018,130
138,138,Richy Werenski,98,56.49,309,547,2018,130
139,139,Sam Ryder,82,56.47,227,402,2018,130
140,140,Brett Stegmaier,67,56.44,184,326,2018,130
T141,141,Kevin Chappell,77,56.28,251,446,2018,130
T141,145,Aaron Wise,90,56.28,278,494,2018,130
143,142,Charley Hoffman,87,56.22,271,482,2018,130
144,144,Michael Kim,74,56.05,278,496,2018,130
145,146,Scott Piercy,84,55.96,244,436,2018,130
146,147,Brandon Harkins,101,55.88,328,587,2018,130
147,148,Sam Saunders,80,55.79,260,466,2018,130
T148,143,Tommy Fleetwood,73,55.77,203,364,2018,130
T148,149,Michael Thompson,62,55.77,174,312,2018,130
T150,T150,Lanto Griffin,80,55.76,242,434,2018,130
T150,T150,J.J. Spaun,85,55.76,242,434,2018,130
152,152,Stewart Cink,87,55.69,274,492,2018,130
153,153,Nick Watney,94,55.68,289,519,2018,130
154,154,David Hearn,66,55.65,187,336,2018,130
155,155,Pat Perez,82,55.63,242,435,2018,130
156,156,Bronson Burgoon,69,55.61,218,392,2018,130
157,157,Kiradech Aphibarnrat,51,55.59,174,313,2018,130
158,158,Ryan Blaum,81,55.46,264,476,2018,130
159,159,Ryan Palmer,69,55.38,216,390,2018,130
T160,161,Patton Kizzire,92,55.24,274,496,2018,130
T160,162,Cameron Tringale,67,55.24,216,391,2018,130
162,163,Jason Kokrak,99,55.11,291,528,2018,130
163,164,Derek Fathauer,84,54.99,314,571,2018,130
164,165,Billy Hurley III,70,54.93,234,426,2018,130
165,166,Martin Flores,92,54.89,286,521,2018,130
166,167,Ethan Tracy,72,54.88,236,430,2018,130
167,168,Daniel Summerhays,51,54.86,192,350,2018,130
168,169,Adam Scott,78,54.85,226,412,2018,130
169,160,Kyle Stanley,93,54.80,251,458,2018,130
170,170,Scott Brown,102,54.79,332,606,2018,130
171,171,J.J. Henry,81,54.77,218,398,2018,130
172,172,Adam Schenk,86,54.55,252,462,2018,130
173,180,Gary Woodland,96,54.45,263,483,2018,130
174,173,Trey Mullinax,75,54.42,234,430,2018,130
175,174,Russell Henley,77,54.33,226,416,2018,130
176,175,Grayson Murray,72,54.32,264,486,2018,130
177,176,Mackenzie Hughes,80,54.19,252,465,2018,130
178,177,Kyle Thompson,50,54.02,168,311,2018,130
179,178,Hudson Swafford,73,54.01,202,374,2018,130
180,179,Nicholas Lindheim,77,53.90,214,397,2018,130
181,181,Shane Lowry,64,53.48,169,316,2018,130
182,182,D.A. Points,63,53.32,233,437,2018,130
183,183,Cody Gribble,71,53.30,234,439,2018,130
184,184,Robert Streb,78,52.89,247,467,2018,130
185,185,Greg Chalmers,56,52.85,213,403,2018,130
186,186,Tyler Duncan,97,52.76,268,508,2018,130
187,187,Brendan Steele,74,52.56,195,371,2018,130
188,188,Matt Every,79,52.51,251,478,2018,130
189,189,Sung Kang,89,52.40,295,563,2018,130
190,190,Tom Lovelady,87,52.08,250,480,2018,130
191,191,Zecheng Dou,53,51.56,165,320,2018,130
192,192,Satoshi Kodaira,51,51.02,175,343,2018,130
193,194,Andrew Yun,51,44.01,136,309,2018,130
