RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,PAR OR BETTER,MISSED GIR,Year,Stat ID
130,T133,Brian Stuard,93,57.14,328,574,2017,130
131,126,Russell Henley,99,57.12,321,562,2017,130
132,135,Jason Bohn,75,57.11,269,471,2017,130
133,136,Ryan Brehm,83,57.08,258,452,2017,130
134,137,Martin Flores,88,57.01,244,428,2017,130
135,138,Sung Kang,104,56.98,355,623,2017,130
136,139,Harold Varner III,101,56.94,328,576,2017,130
137,140,Sebastián Muñoz,51,56.92,185,325,2017,130
138,141,Ryan Palmer,61,56.88,182,320,2017,130
139,T133,Kevin Chappell,95,56.84,320,563,2017,130
140,142,Jonathan Randolph,68,56.77,239,421,2017,130
141,143,Ryan Moore,82,56.74,282,497,2017,130
142,144,Brian Campbell,55,56.68,191,337,2017,130
143,145,J.J. Henry,92,56.66,268,473,2017,130
144,146,Nicholas Lindheim,58,56.65,196,346,2017,130
145,147,J.B. Holmes,83,56.64,290,512,2017,130
146,148,Charley Hoffman,112,56.55,367,649,2017,130
147,149,William McGirt,89,56.53,277,490,2017,130
148,150,Graham DeLaet,82,56.51,243,430,2017,130
149,151,Ken Duke,77,56.47,262,464,2017,130
150,152,Brad Fritsch,56,56.42,189,335,2017,130
151,154,Luke List,102,56.33,307,545,2017,130
152,155,Boo Weekley,75,56.31,232,412,2017,130
153,160,Brooks Koepka,88,56.27,296,526,2017,130
154,156,Trey Mullinax,88,56.26,274,487,2017,130
T155,T157,Daniel Summerhays,100,56.22,348,619,2017,130
T155,T157,Byeong Hun An,77,56.22,262,466,2017,130
157,159,Jim Herman,77,56.15,242,431,2017,130
158,161,Blayne Barber,77,55.80,231,414,2017,130
159,162,Johnson Wagner,71,55.73,209,375,2017,130
160,163,Emiliano Grillo,90,55.71,288,517,2017,130
161,164,Ernie Els,52,55.69,225,404,2017,130
162,165,D.A. Points,68,55.67,226,406,2017,130
163,166,Shane Lowry,52,55.59,159,286,2017,130
164,167,Hudson Swafford,94,55.53,286,515,2017,130
165,168,Scott Stallings,81,55.51,247,445,2017,130
166,169,Danny Lee,93,55.43,301,543,2017,130
167,170,Si Woo Kim,80,55.41,302,545,2017,130
168,171,Bubba Watson,71,55.34,233,421,2017,130
169,172,Smylie Kaufman,76,55.18,245,444,2017,130
170,173,Anirban Lahiri,72,55.06,261,474,2017,130
171,174,Robert Garrigus,78,54.94,217,395,2017,130
172,175,Cody Gribble,79,54.74,283,517,2017,130
173,176,Chris Kirk,89,54.73,272,497,2017,130
174,177,Miguel Angel Carballo,63,54.72,197,360,2017,130
175,178,Billy Horschel,88,54.33,270,497,2017,130
176,179,Patton Kizzire,84,54.31,271,499,2017,130
177,180,Rick Lamb,54,54.03,161,298,2017,130
178,181,Carl Pettersson,63,53.91,241,447,2017,130
179,182,Jason Kokrak,95,53.87,306,568,2017,130
180,183,Derek Fathauer,81,53.78,270,502,2017,130
181,184,Grayson Murray,94,53.77,314,584,2017,130
182,185,Patrick Rodgers,76,53.63,244,455,2017,130
183,186,Kelly Kraft,75,53.50,252,471,2017,130
184,187,Rod Pampling,71,52.83,243,460,2017,130
185,188,Steven Bowditch,59,51.96,239,460,2017,130
186,189,Søren Kjeldsen,58,51.64,173,335,2017,130
187,191,Andrew Loupe,55,50.27,189,376,2017,130
188,192,Brett Stegmaier,78,50.11,228,455,2017,130
189,193,Scott Piercy,70,49.88,200,401,2017,130
190,194,Matt Every,76,48.01,241,502,2017,130
