RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,Year,Stat ID
77,77,Adam Hadwin,92,.166,10.930,66,2018,02568
78,78,Charles Howell III,104,.163,12.698,78,2018,02568
79,79,J.B. Holmes,77,.159,10.837,68,2018,02568
80,80,Nick Watney,94,.141,11.282,80,2018,02568
81,81,Ben Martin,64,.119,6.764,57,2018,02568
82,82,Aaron Baddeley,84,.117,8.159,70,2018,02568
83,83,Alex Noren,67,.107,5.261,49,2018,02568
84,84,Brian Stuard,103,.099,8.749,88,2018,02568
85,85,Robert Streb,78,.096,5.737,60,2018,02568
86,87,William McGirt,84,.091,6.797,75,2018,02568
87,88,Ollie Schniederjans,91,.090,6.895,77,2018,02568
88,89,Troy Merritt,89,.086,6.258,73,2018,02568
89,90,James Hahn,85,.081,5.560,69,2018,02568
T90,T91,Brett Stegmaier,67,.078,3.677,47,2018,02568
T90,T91,Johnson Wagner,75,.078,4.304,55,2018,02568
92,93,Talor Gooch,78,.075,4.657,62,2018,02568
93,94,Abraham Ancer,98,.074,6.118,83,2018,02568
94,95,Zac Blair,64,.072,3.295,46,2018,02568
95,97,Ricky Barnes,65,.059,2.671,45,2018,02568
96,96,Jon Rahm,71,.047,2.379,51,2018,02568
97,98,Graeme McDowell,67,.046,2.133,46,2018,02568
98,99,Jonathan Byrd,70,.043,2.088,48,2018,02568
99,100,Cameron Percy,56,.039,1.607,41,2018,02568
T100,T101,Kyle Thompson,50,.036,1.303,36,2018,02568
T100,T101,Brian Gay,103,.036,3.339,92,2018,02568
T100,T101,Nate Lashley,51,.036,1.276,35,2018,02568
103,130,Cameron Smith,85,.034,2.061,61,2018,02568
104,105,Kevin Tway,110,.032,2.855,90,2018,02568
105,106,Whee Kim,93,.030,2.213,73,2018,02568
106,107,Rob Oppenheim,74,.026,1.378,54,2018,02568
107,108,Martin Laird,73,.024,1.487,61,2018,02568
108,109,Kelly Kraft,94,.017,1.261,74,2018,02568
109,104,Aaron Wise,90,.012,.981,80,2018,02568
110,110,Nick Taylor,94,.011,.818,74,2018,02568
111,86,Bubba Watson,90,.005,.343,68,2018,02568
112,111,Brandon Harkins,101,-.006,-.518,85,2018,02568
T113,T112,Tyrone Van Aswegen,101,-.008,-.652,83,2018,02568
T113,T112,Conrad Shindler,60,-.008,-.368,44,2018,02568
115,114,Jason Dufner,71,-.009,-.478,52,2018,02568
116,115,Chad Campbell,87,-.010,-.693,67,2018,02568
117,116,Fabián Gómez,88,-.015,-1.079,71,2018,02568
T118,T117,Matt Every,79,-.024,-1.434,61,2018,02568
T118,T117,Brian Harman,94,-.024,-1.735,72,2018,02568
120,119,Brandt Snedeker,84,-.026,-1.906,74,2018,02568
121,120,Bud Cauley,55,-.032,-1.315,41,2018,02568
122,121,Ben Crane,65,-.038,-1.765,46,2018,02568
T123,T122,Jamie Lovemark,92,-.040,-3.151,78,2018,02568
T123,T122,Peter Uihlein,83,-.040,-2.611,65,2018,02568
T125,T124,Lanto Griffin,80,-.043,-2.570,60,2018,02568
T125,T124,Lucas Glover,65,-.043,-1.993,46,2018,02568
127,126,Austin Cook,107,-.045,-4.160,92,2018,02568
128,127,Blayne Barber,69,-.047,-2.801,60,2018,02568
129,128,Bill Haas,76,-.052,-3.429,66,2018,02568
130,129,Chris Stroud,81,-.056,-3.241,58,2018,02568
131,131,Steve Wheatcroft,60,-.065,-2.975,46,2018,02568
132,132,Sean O'Hair,67,-.073,-4.179,57,2018,02568
133,133,Ryan Blaum,81,-.074,-5.320,72,2018,02568
134,134,Harold Varner III,91,-.076,-5.629,74,2018,02568
T135,T135,Sam Saunders,80,-.081,-5.406,67,2018,02568
T135,T135,Jhonattan Vegas,92,-.081,-5.158,64,2018,02568
T137,T137,Martin Flores,92,-.083,-5.990,72,2018,02568
T137,T137,Andrew Landry,82,-.083,-6.066,73,2018,02568
139,139,Sung Kang,89,-.094,-6.279,67,2018,02568
140,140,Keith Mitchell,99,-.128,-10.604,83,2018,02568
141,141,Pat Perez,82,-.138,-7.014,51,2018,02568
142,147,Jason Day,75,-.140,-6.881,49,2018,02568
143,142,Brice Garnett,99,-.144,-11.631,81,2018,02568
144,143,Hunter Mahan,67,-.149,-7.618,51,2018,02568
145,144,Rory Sabbatini,91,-.152,-11.370,75,2018,02568
146,145,Danny Lee,88,-.155,-10.833,70,2018,02568
147,146,David Lingmerth,82,-.160,-11.056,69,2018,02568
148,148,Stephan Jaeger,81,-.166,-10.463,63,2018,02568
149,149,Charl Schwartzel,65,-.168,-7.066,42,2018,02568
T150,T150,Alex Cejka,77,-.169,-10.134,60,2018,02568
T150,T150,Richy Werenski,98,-.169,-12.492,74,2018,02568
152,152,Billy Hurley III,70,-.170,-9.702,57,2018,02568
T153,T153,"Ted Potter, Jr.",87,-.200,-15.397,77,2018,02568
T153,T153,Si Woo Kim,108,-.200,-15.615,78,2018,02568
155,155,Michael Kim,74,-.213,-11.479,54,2018,02568
156,156,Hudson Swafford,73,-.237,-12.304,52,2018,02568
157,157,Tom Lovelady,87,-.240,-16.552,69,2018,02568
158,158,Kiradech Aphibarnrat,51,-.247,-8.414,34,2018,02568
159,159,Dominic Bozzelli,65,-.252,-15.368,61,2018,02568
160,160,Xinjun Zhang,81,-.254,-14.482,57,2018,02568
161,161,Peter Malnati,87,-.257,-19.308,75,2018,02568
162,162,Louis Oosthuizen,62,-.261,-12.017,46,2018,02568
163,163,Adam Schenk,86,-.262,-17.281,66,2018,02568
164,164,Zecheng Dou,53,-.265,-9.543,36,2018,02568
165,165,Scott Brown,102,-.270,-21.856,81,2018,02568
166,166,Satoshi Kodaira,51,-.284,-11.356,40,2018,02568
167,167,Anirban Lahiri,82,-.285,-19.078,67,2018,02568
168,168,Harris English,84,-.297,-20.204,68,2018,02568
169,169,Kevin Kisner,89,-.316,-20.525,65,2018,02568
170,170,Patrick Rodgers,97,-.323,-23.590,73,2018,02568
T171,T171,Grayson Murray,72,-.347,-20.449,59,2018,02568
T171,T171,Denny McCarthy,71,-.347,-17.001,49,2018,02568
173,173,Derek Fathauer,84,-.365,-24.809,68,2018,02568
174,174,Nicholas Lindheim,77,-.368,-21.726,59,2018,02568
175,175,J.T. Poston,73,-.373,-21.251,57,2018,02568
176,176,Ben Silverman,90,-.385,-29.251,76,2018,02568
177,177,Matt Jones,70,-.386,-18.132,47,2018,02568
178,178,Seamus Power,86,-.392,-25.849,66,2018,02568
179,179,Beau Hossler,104,-.395,-35.520,90,2018,02568
180,180,Rod Pampling,62,-.415,-18.676,45,2018,02568
181,181,Michael Thompson,62,-.423,-23.683,56,2018,02568
182,182,Ethan Tracy,72,-.424,-22.874,54,2018,02568
183,183,Trey Mullinax,75,-.442,-26.106,59,2018,02568
184,184,Andrew Yun,51,-.447,-15.195,34,2018,02568
185,185,Jonathan Randolph,71,-.538,-32.309,60,2018,02568
186,186,D.A. Points,63,-.541,-25.971,48,2018,02568
187,187,Jonas Blixt,67,-.563,-27.030,48,2018,02568
188,188,Roberto Díaz,72,-.600,-33.574,56,2018,02568
189,189,Cody Gribble,71,-.696,-37.606,54,2018,02568
190,190,Martin Piller,79,-.811,-54.362,67,2018,02568
191,191,Matt Atkins,56,-1.039,-41.550,40,2018,02568
192,192,Greg Chalmers,56,-1.192,-48.882,41,2018,02568
193,194,Daniel Summerhays,51,-1.586,-60.269,38,2018,02568
